replicate,n,q,ENE,beta.mu,sigma,x.cor,model,train.oracle.rsq,model.rsq.test,model.rsq.Ey.test,model.mse.test,meanSStot,nme,n2fi1par,n2fi2par,execution.time,seed
2,250,50,20,1,2,0,lasso,0.789308097310617,0.669912935393455,0.900202683740743,5.37594271998631,15.9621281856836,9,2,1,1.06949090957642,20023
2,1000,50,20,1,2,0,lasso,0.880289203116654,0.865592417834602,0.990523633374311,4.56025286175792,31.6803833646353,14,9,5,4.09274911880493,20024
2,250,20,10,3,2,0,lasso,0.808362931227066,0.818987597536062,0.999087887569468,4.12395616189445,22.024239865156,2,0,0,0.597004890441895,20025
2,1000,20,10,3,2,0,lasso,0.942154395831156,0.938212111608089,0.998401673230651,4.11331161737613,66.3162728767004,5,1,1,0.491615056991577,20026
2,250,50,10,3,2,0,lasso,0.933089793498403,0.920852487763441,0.991080609350437,5.33032346683439,57.7090883056557,4,2,0,0.88654899597168,20027
2,1000,50,10,3,2,0,lasso,0.984720648507041,0.983152515721018,0.998634211449168,4.85909652711381,262.53675958021,11,5,12,2.61744499206543,20028
2,250,20,20,3,2,0,lasso,0.978718456541018,0.968681019181605,0.992558540167295,5.77853809969899,165.07142298111,12,2,4,0.349831819534302,20029
2,1000,20,20,3,2,0,lasso,0.974836893765543,0.973551662573762,0.999397606728096,4.48981064282477,163.344687350676,8,6,4,0.49760103225708,20030
2,250,50,20,3,2,0,lasso,0.989359549675667,0.973788837267551,0.989940170255416,8.57741882928311,247.810570560929,10,11,6,0.93168306350708,20031
2,1000,50,20,3,2,0,lasso,0.937463320162389,0.939659666414923,0.999582402071895,4.19653213047092,67.1637530869197,4,3,0,3.00383710861206,20032
2,250,20,10,1,0.5,0.8,lasso,0.994784775330129,0.993607755968808,0.999233126324362,0.29157515312854,44.5863710277261,6,4,4,0.289041996002197,20033
2,1000,20,10,1,0.5,0.8,lasso,0.977310873655174,0.979068190166336,0.999776706134555,0.252712577438455,12.0388952782211,4,0,1,0.538258075714111,20034
2,250,50,10,1,0.5,0.8,lasso,0.990626260003245,0.989253081241506,0.995733652370912,0.464644267893246,37.8761681239754,8,2,10,1.01275706291199,20035
2,1000,50,10,1,0.5,0.8,lasso,0.959220579882336,0.958247705890935,0.999942662785496,0.247330577121861,5.82904179087357,3,0,1,2.33318495750427,20036
2,250,20,20,1,0.5,0.8,lasso,0.99873376783652,0.99768790850445,0.99916259587704,0.385897495097825,166.097906261982,14,3,14,0.207318067550659,20037
2,1000,20,20,1,0.5,0.8,lasso,0.994730929954392,0.993259953458895,0.999864076157656,0.256195393614805,37.8180738319386,7,4,2,0.452776908874512,20038
2,250,50,20,1,0.5,0.8,lasso,0.991111242125773,0.99023833855328,0.996808313605924,0.401006604425833,37.2690031051342,9,5,4,0.938426971435547,20039
2,1000,50,20,1,0.5,0.8,lasso,0.994816315172892,0.994077166523233,0.999712728961594,0.267766216014295,43.808864296848,9,6,6,2.51366686820984,20040
2,250,20,10,3,0.5,0.8,lasso,0.99925951469083,0.999118251127858,0.99989960126565,0.373505988030946,318.860123349391,6,3,3,0.125584840774536,20041
2,1000,20,10,3,0.5,0.8,lasso,0.994585158626668,0.995204512810006,0.999946407413679,0.252837951456144,52.3550944811075,3,1,0,0.450432062149048,20042
2,250,50,10,3,0.5,0.8,lasso,0.999221202383039,0.999111204028085,0.999671711229308,0.799168421191422,449.606603820005,8,7,8,1.03544402122498,20043
2,1000,50,10,3,0.5,0.8,lasso,0.995513545571196,0.995392132980428,0.999985304373583,0.262373746928619,54.7206579819329,3,1,0,2.21560096740723,20044
2,250,20,20,3,0.5,0.8,lasso,0.999797039321122,0.999433447726328,0.999760202033844,0.936693280042226,744.442367968362,10,4,5,0.129563093185425,20045
2,1000,20,20,3,0.5,0.8,lasso,0.999801437393722,0.999513283629589,0.9997667650698,1.1585785302429,994.265138229113,12,5,8,0.266698837280273,20046
2,250,50,20,3,0.5,0.8,lasso,0.99967670092155,0.998907494380123,0.999258580231401,1.39153076838306,703.171428480871,16,9,6,0.961792945861816,20047
2,1000,50,20,3,0.5,0.8,lasso,0.999156650678433,0.999159001673093,0.999918267625074,0.389550868339402,318.272683288597,11,2,3,2.34218502044678,20048
2,250,20,10,1,2,0.8,lasso,0.553737301891189,0.528198755498973,0.958322766372475,4.35130499448434,9.02904420373643,3,0,1,2.85413789749146,20049
